Keywords,Answer,Language
"hello,hi,hey,",Hello! How can I help you?,en
namaste,नमस्ते! मैं आपकी मदद के लिए यहाँ हूँ 😊,hi
hi,Hello! How can I help you?,en
hey,Hello! How can I help you?,hi
"bye,goodbye,tata",Bye! Have a nice day 😊,en
bye,अलविदा! आपका दिन शुभ हो 😊,hi
courses,"Available courses are AI, ML, Python",en
courses,"कोर्स AI, ML, Python उपलब्ध हैं",hi
"experience letter,experience","Yes, an experience letter is provided",en
"experience letter,experience","हाँ, यहाँ experience letter दिया जाता है",hi
"internship,internship hai,milti hai,karate hai","Yes, internships are available",en
"internship,internship hai,milti hai,karate hai","हाँ, यहाँ internships उपलब्ध हैं",hi
"fee,fees,fee kya hai,kitni hai",Course fee details are shared during admission,en
"fee,fees,fee kya hai,kitni hai",कोर्स फीस का विवरण प्रवेश के समय दिया जाता है,hi
admission,Admissions are open for all courses,en
admission,सभी कोर्स के लिए प्रवेश खुला है,hi
placement,We provide placement assistance,en
placement,हम प्लेसमेंट सहायता प्रदान करते हैं,hi
"contact,contact number,number",You can contact us via email or phone,en
"contact,contact number,number",आप हमसे ईमेल या फोन से संपर्क कर सकते हैं,hi
schedule,The course schedule is shared on website,en
schedule,कोर्स का समय-सारिणी वेबसाइट पर दिया गया है,hi
support,We provide 24/7 student support,en
support,हम 24/7 छात्र सहायता प्रदान करते हैं,hi
library,Our library has many resources,en
library,हमारी लाइब्रेरी में कई संसाधन उपलब्ध हैं,hi
project,Students can do projects as part of learning,en
project,छात्र सीखने के हिस्से के रूप में प्रोजेक्ट कर सकते हैं,hi
exam,Exam dates are available on the website,en
exam,परीक्षा की तारीखें वेबसाइट पर उपलब्ध हैं,hi
"hello,hi,hey,greetings,namaste",Hello! How can I help you?,en
"namaste,hello,hi,hey,greetings",नमस्ते! मैं आपकी मदद के लिए यहाँ हूँ 😊,hi
"bye,goodbye,see you,later,farewell",Bye! Have a nice day 😊,en
"bye,goodbye,alvida,phir milte hai",अलविदा! आपका दिन शुभ हो 😊,hi
"courses,course,training,program,class,classes","Available courses are AI, ML, Python",en
"courses,course,training,program,class,classes","कोर्स AI, ML, Python उपलब्ध हैं",hi
"experience letter,letter,experience,certificate,proof","Yes, an experience letter is provided",en
"experience letter,letter,experience,certificate,proof","हाँ, यहाँ experience letter दिया जाता है",hi
"internship,intern,work experience,training program,practical","Yes, internships are available",en
